Comment,Designator,Footprint,LCSC
100R,"R4,R6,R7,R8,R9,R17,R18,R33",Resistor_SMD:R_0402_1005Metric,C25076
ZX-XH2.54-3PWT,J13,JST-XH-SMT:JST-XH-SMD-3Pin,C7429672
2k,"R10,R13,R21,R37,R38,R39,R40",Resistor_SMD:R_0402_1005Metric,C4109
Jumper_3_Open,"JP1,JP2,JP3",PinHeader_jumper:PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left_LargePads,C41417360
5k1,"R5,R12,R34,R69,R70,R71,R72",Resistor_SMD:R_0402_1005Metric,C25905
10k,"R1,R2,R11,R14,R15,R16,R19,R22,R35,R36",Resistor_SMD:R_0402_1005Metric,C25744
100n,"C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23",Capacitor_SMD:C_0402_1005Metric,C307331
100R,"RN1,RN2,RN3,RN4,RN5,RN6",Resistor_SMD:R_Array_Convex_4x0603,C25506
10u,"C1,C3,C4,C5,C6,C24,C25",Capacitor_SMD:C_0805_2012Metric,C15850
MICRO 4P DIP,J11,USB_Conn:USB_MICRO 4P DIP,C456008
Q_NPN_BEC,"Q3,Q4,Q5,Q6",Package_TO_SOT_SMD:SOT-23,C20526
4R7,"R3,R20",Resistor_SMD:R_0805_2012Metric,C17675
SMBJ6.5CA,D5,Diode_SMD:D_SMB,C7420377
Conn_01x04,"J7,J8,J9,J10",Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C7430446
SKRPABE010,"SW2,SW3",Switch_SMT:SW_SMD_LargePads,C115360
PESD3V3L1UB,"D6,D7,D8,D9",Diode_SMD:D_SOD-523,C3001945
RED,D2,LED_SMD:LED_0603_1608Metric,C965799
BLM18PG121SN1D,FB1,Inductor_SMD:L_0603_1608Metric,C14709
XL-2020RGBC-WS2812B,U9,XL-2020RGBC-WS2812B:LED_WS2812B-2020_PLCC4_2.0x2.0mm,C5349955
ZX-XH2.54-10PWT,J6,JST-XH-SMT:JST-XH-SMD-10Pin,C7429679
CP2102N-Axx-xQFN28,U3,Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,C964632
ESP32-S3-WROOM-1-N16R8,U1,ESP32-WROOM:ESP32-S3-WROOM,C2913202
AMS1117-3.3,U2,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C6186
Conn_01x06,"J3,J4",PinSocket_PMOD:PinSocket_PMOD_Half,C2897388
TYPE-C-31-M-12,J12,USB_Conn:USB_C_Receptacle_HRO_TYPE-C-31-M-12_With_THR_Paste,C165948
PMOD3_FULL,J2,PinSocket_PMOD:PinSocket_PMOD_full,C2897426
RVT1V470M0605,C2,Capacitor_SMD:CP_Elec_6.3x5.4,C72522
