Designator,Mid X,Mid Y,Layer,Rotation
C1,60.00,-87.90,T,270.00
C2,117.00,-78.50,T,180.00
C3,125.12,-73.20,T,0.00
C4,132.70,-74.50,T,0.00
C5,91.42,-95.28,T,0.00
C6,84.72,-95.22,T,180.00
C7,85.53,-97.47,T,180.00
C8,90.32,-97.47,T,0.00
C9,98.82,-106.00,T,0.00
C10,79.20,-114.20,T,270.00
C11,53.00,-106.90,T,90.00
C12,51.80,-114.10,T,180.00
C13,136.48,-113.78,T,180.00
C14,93.40,-75.20,T,0.00
C15,137.00,-108.80,T,270.00
C16,83.60,-118.90,T,270.00
C17,56.50,-84.20,T,0.00
C18,75.70,-64.70,T,270.00
C19,135.50,-65.60,T,90.00
C20,53.48,-84.20,T,180.00
C21,128.90,-69.10,T,0.00
C22,131.50,-99.10,T,90.00
C23,57.85,-88.90,T,270.00
C24,93.85,-77.35,T,0.00
D2,90.70,-92.00,T,180.00
D5,131.90,-78.40,T,0.00
D6,135.00,-71.05,T,270.00
D7,135.00,-68.05,T,90.00
D8,137.50,-79.25,T,90.00
D9,137.50,-82.40,T,270.00
FB1,129.20,-70.60,T,180.00
J2,103.85,-111.27,T,0.00
J3,54.40,-94.03,T,270.00
J4,135.50,-94.05,T,90.00
J6,119.25,-64.00,T,180.00
J7,48.27,-107.90,T,270.00
J8,52.80,-118.72,T,0.00
J9,137.50,-118.72,T,0.00
J10,141.72,-107.80,T,90.00
J11,142.30,-80.90,T,90.00
J12,140.90,-68.35,T,90.00
J13,72.54,-114.00,T,180.00
JP1,97.46,-102.10,T,180.00
JP2,63.60,-92.06,T,90.00
JP3,126.35,-97.56,T,270.00
Q3,92.16,-65.00,T,180.00
Q4,85.36,-65.00,T,0.00
R1,86.00,-75.10,T,0.00
R2,95.59,-67.68,T,90.00
R3,124.80,-70.56,T,0.00
R4,120.10,-104.00,T,0.00
R5,86.40,-91.95,T,0.00
R6,120.15,-105.50,T,180.00
R7,67.70,-106.10,T,180.00
R8,67.70,-104.70,T,0.00
R9,128.90,-72.40,T,0.00
R10,95.59,-70.28,T,90.00
R11,97.50,-73.50,T,180.00
R12,100.10,-73.50,T,180.00
R13,97.19,-70.29,T,90.00
R14,74.00,-80.10,T,180.00
R15,74.00,-66.00,T,180.00
R16,74.00,-78.70,T,180.00
R17,86.00,-73.00,T,180.00
R18,86.00,-71.30,T,180.00
R19,96.80,-60.90,T,90.00
R33,74.55,-109.00,T,180.00
R34,86.00,-69.70,T,0.00
R35,88.76,-64.00,T,180.00
R36,88.76,-65.90,T,0.00
R37,54.90,-107.52,T,90.00
R38,54.90,-110.00,T,270.00
R39,135.20,-106.60,T,270.00
R40,135.20,-104.50,T,90.00
R69,137.70,-76.70,T,180.00
R70,137.70,-75.40,T,180.00
R71,137.70,-84.50,T,180.00
RN1,59.30,-98.80,T,90.00
RN2,129.00,-91.00,T,270.00
RN3,108.62,-103.50,T,180.00
RN4,104.82,-103.50,T,180.00
RN5,100.70,-65.30,T,270.00
RN6,100.70,-61.05,T,270.00
SW2,118.50,-119.50,T,0.00
SW3,89.20,-119.50,T,0.00
U1,62.00,-73.00,T,90.00
U2,88.53,-103.08,T,90.00
U3,91.40,-71.21,T,90.00
U9,80.92,-118.95,T,180.00
